Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Ip Man: The Final Fight,"Action, Biography, Drama","20th Century Period Pieces,Gangster Films,Asian Action Films,International Movies,Chinese Films,International Action & Adventure,Martial Arts Films,Action & Adventure,Crime Action & Adventure,Hong Kong Films,Films Based on Real Life,Gangster Action & Adventure,Crime Movies",Cantonese,Movie,3.1,"Japan,Spain",1-2 hour,Herman Yau,Erica Li,"Gillian Chung, Jordan Chan, Eric Tsang, Anthony Chau-Sang Wong",PG-13,6.2,67.0,55.0,4.0,8.0,37884.0,2013-03-28,2015-04-14,"National Arts Films Production, Emperor Film Production",https://www.netflix.com/watch/70286352,https://www.imdb.com/title/tt2495118,This entry in the saga of the man who famously trained Bruce Lee finds the middle-aged master teaching the Wing Chun style in Hong Kong.,10696.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbzSITMfuCfUSKrJFzjoEYllqyaHfB-O544NhtTPRp9rolR1l0jYVUnfqixhReKnjOg6ZEbC3is0dfTEje9SKwGwIw.jpg?r=3d9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMTY0NDQxMV5BMl5BanBnXkFtZTgwMjEwMTEwMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=SKRQpmPpPug,YouTube
The Interview,"Action, Adventure, Comedy","Action Comedies,Comedies,Action & Adventure,Dark Comedies,Spoofs & Satires","English, Korean",Movie,2.8,"Canada,Sweden,Iceland",1-2 hour,"Seth Rogen, Evan Goldberg","Seth Rogen, Evan Goldberg, Dan Sterling","Seth Rogen, Lizzy Caplan, James Franco, Randall Park",R,6.5,51.0,52.0,1.0,6.0,6105175.0,2014-12-24,2015-04-14,Point Grey,https://www.netflix.com/watch/70305895,https://www.imdb.com/title/tt2788710,"When a TV host and his producer score an interview with Kim Jong-un, whos a fan of their show, the CIA asks them to assassinate the dictator.",307483.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQwfehYayeHfkzMrgsYI_ea56bANnTwZT5971rHmjxvoc_9GqOfGV1wCNm9BxM4kVk8CJBX4eS5zzIJoDbmW1p3FpA.jpg?r=a47,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMTcwMzgyMV5BMl5BanBnXkFtZTgwMzAyMzQ2MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=9oVzgybbU3M,YouTube
Horns,"Comedy, Crime, Drama, Fantasy, Mystery, Thriller","Dramas,Thrillers,Sci-Fi & Fantasy,Fantasy,Dramas based on a book,Crime Thrillers,Supernatural Thrillers,Crime Dramas,Horror Movies,Movies Based on Books,Supernatural Horror Movies",English,Movie,2.5,"United States,Slovakia,Czech Republic,Hungary,Romania",1-2 hour,Alexandre Aja,"Joe Hill, Keith Bunin","Juno Temple, Joe Anderson, Daniel Radcliffe, Max Minghella",R,6.5,41.0,46.0,4.0,4.0,173948.0,2014-10-03,2015-04-14,Red Granite Pictures,https://www.netflix.com/watch/70266677,https://www.imdb.com/title/tt1528071,"Accused of murder, Ig Perish wakes up one day to find hes grown a set of horns -- compelling people to confess their sins to him.",78008.0,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXLpFlq5pgl3Pu5CUbZ_7MZZO7d_yFaKkh4fyPlUVr_EtNh4GyQ9OWrHVcVDhqjsFdn6-drlmmP-Uw0nP1_16vRRJQ.jpg?r=022,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Nzk5NzIxMF5BMl5BanBnXkFtZTgwNTM2NTc5MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=B3AZx-cNM78,YouTube
Patriot Games,"Action, Thriller","Spy Action & Adventure,Action Thrillers,Action & Adventure,Movies Based on Books,Action Movies,Blockbuster Action & Adventure,US Movies",English,Movie,3.4,"Hong Kong,Lithuania,Thailand,South Africa,Israel,Singapore,Malaysia,Russia",1-2 hour,Phillip Noyce,"Tom Clancy, W. Peter Iliff, Donald E. Stewart","Patrick Bergin, Anne Archer, Harrison Ford, Sean Bean",R,6.9,73.0,64.0,1.0,3.0,83351587.0,1992-06-05,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/846071,https://www.imdb.com/title/tt0105112,CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.,103488.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdjhHzDqDp8cCrcbARJaP1YtacJ1o8TRWsI7a-yPYNXKxrbma9SThyvX_CF_0kQ9Kf0LS2TfaZU_Gskc48v97Ke72A.jpg?r=86c,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3OTA0NjI0Nl5BMl5BanBnXkFtZTgwNjUwODQxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=86janCeyCdg,YouTube
The Host,"Action, Drama, Horror, Sci-Fi","Horror Films,Sci-Fi & Fantasy,Creature Features,International Movies,International Sci-Fi & Fantasy,Korean Films,Cult Sci-Fi & Fantasy,Cult Horror Films,Monster Films,Sci-Fi Horror Films,Cult Films","Korean, English",Movie,4.2,"Hong Kong,Mexico,Lithuania,Poland,Italy,Czech Republic,South Africa,Hungary,Thailand,Slovakia,Israel,Turkey,India,Russia,Argentina,Brazil,Singapore,Malaysia,Colombia,Romania",1-2 hour,Bong Joon Ho,"Won-jun Ha, Bong Joon Ho, Chul-hyun Baek","Byun Hee-Bong, Park Hae-il, Kang-ho Song, Bae Doona",R,7.1,93.0,85.0,29.0,35.0,2201923.0,2007-03-30,2015-04-14,"Chockstone Pictures, Silver Reel, Nick Wechsler",https://www.netflix.com/watch/70059029,https://www.imdb.com/title/tt0468492,"A mutant creature has developed from toxic chemical dumping. When the monster scoops up the granddaughter of a snack-bar owner, he races to save her.",107555.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZgwm7rudcEwU8antR5ckhPJPacfzwvfCpkAismQ8EGKWwodP-Lozq1LERwDuzjThEIGCvuD7kmutne0NOQYTkiy1g.jpg?r=8ff,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NDQ0MDQ2N15BMl5BanBnXkFtZTgwMjE0NjQ0MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=i6b42ZMkUcQ,YouTube
Top Gun,"Action, Drama","Dramas,Military Dramas,Romantic Dramas,Romantic Favourites,Military Action & Adventure,Action & Adventure,Romantic Films,Classic Movies,Classic Action & Adventure,US Movies,Classic Dramas,Classic Romantic Films,Modern Classics",English,Movie,2.9,"Japan,Russia,South Korea,Brazil,Argentina,Hong Kong,Thailand,Singapore,Malaysia,Mexico,Colombia,Germany",1-2 hour,Tony Scott,"Jim Cash, Ehud Yonay, Jack Epps Jr.","Anthony Edwards, Tom Cruise, Kelly McGillis, Val Kilmer",PG,6.9,54.0,50.0,11.0,5.0,179800601.0,1986-05-16,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/1056189,https://www.imdb.com/title/tt0092099,"Tom Cruise plays a hotshot pilot who struggles to balance life, responsibility and a love affair while competing at the Navys fighter-weapons school.",296612.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZtnIneg-BnpRhRicY8fJo1CLzJuLHQdC4nqu_OI4_aZlfdMx68dSNPf_en2d_Vw0G8QpN6FAMO0zwzM-p0RlrDxwA.jpg?r=03b,https://images-na.ssl-images-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=iCrUqt9Uf3E,YouTube
Ghost,"Drama, Fantasy, Romance, Thriller","Dramas,Romantic Dramas,Romantic Favourites,Tearjerkers,Romantic Films,Classic Films,Classic Dramas,Classic Romantic Films,US Movies,Award-winning Dramas",English,Movie,3.3,"Japan,Thailand,Hong Kong,France,Russia,Brazil,Netherlands,Germany,Israel,Singapore,Argentina,Malaysia,Mexico,Colombia",> 2 hrs,Jerry Zucker,Bruce Joel Rubin,"Patrick Swayze, Stanley Lawrence, Demi Moore, Tony Goldwyn",PG-13,7.1,74.0,52.0,18.0,23.0,217631306.0,1990-07-13,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/60010395,https://www.imdb.com/title/tt0099653,"Sam is killed by a mugger, but his love for his girlfriend, Molly, endures beyond the grave as Sams spirit tries to warn Molly that she is in danger.",198134.0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbwd6am6Eg7wrayYiiJTNZplZzPRrYSXPcyosE9oBQfc9EjOELqSK85AH9YBbFaVLiG_PUUFeGr9zUZ2hYbcstmrzw.jpg?r=8d0,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=KZkbSUSdqX4,YouTube
Galaxy Quest,"Adventure, Comedy, Sci-Fi","Alien Sci-Fi,Sci-Fi & Fantasy,Sci-Fi Adventure,Comedies,Adventures,Action & Adventure,Spoofs & Satires",English,Movie,3.9,"United Kingdom,Italy",1-2 hour,Dean Parisot,"David Howard, Robert Gordon","Sigourney Weaver, Tony Shalhoub, Tim Allen, Alan Rickman",PG,7.3,90.0,70.0,7.0,14.0,71583916.0,1999-12-25,2015-04-14,DreamWorks Pictures,https://www.netflix.com/watch/28369403,https://www.imdb.com/title/tt0177789,"Decades after the success of a sci-fi series, the shows washed-up stars are recruited by actual aliens to pull off an intergalactic rescue mission.",150108.0,http://art-2.nflximg.net/f3bb1/bc08f809b0255536975fa7a4f8d434cb8d9f3bb1.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjM1ODkyMl5BMl5BanBnXkFtZTcwODY0NDMzMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=B34jbC43XzA,YouTube
Godzilla,"Action, Sci-Fi, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Action & Adventure,Monster Films","English, French, Japanese, Russian, Spanish",Movie,1.7,"South Korea,Thailand,Hong Kong,United Kingdom,Russia,Canada,Spain,South Africa,Iceland,Portugal,Singapore,Malaysia,Greece,India",> 2 hrs,Roland Emmerich,"Terry Rossio, Ted Elliott, Dean Devlin, Roland Emmerich","Maria Pitillo, Hank Azaria, Jean Reno, Matthew Broderick",PG-13,5.4,15.0,32.0,10.0,13.0,136314294.0,1998-05-20,2015-04-14,"Fried Films, Independent Pictures, TriStar Pictures, Centropolis Film Productions",https://www.netflix.com/watch/11819467,https://www.imdb.com/title/tt0120685,A team of experts -- including a biologist and two scientists -- must stop an oversized lizard from destroying all of Manhattan.,182919.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVGK56r5JA0yLXkasK1FQJY4h0d4eVZaDNFVZL7k6AwXuIJrUGLEuljmB-3ZDwOTNVNF-PhHF6YG7R4ixr_nazhL2Q.jpg?r=efa,https://images-na.ssl-images-amazon.com/images/M/MV5BNjFlOTI2OGQtMzg0YS00ZGE4LTkwMjEtZDUzYThlOTU5YjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=3FEDcXsL5o8,YouTube
Wetlands,"Comedy, Drama","Dramas,International Dramas,International Movies,Dramas based on a book,German Films,International Comedies,Comedies,Late Night Comedies,Dramas based on contemporary literature,Independent Movies,Movies Based on Books,German Comedies",German,Movie,3.8,Germany,1-2 hour,David Wnendt,"Sabine Pochhammer, David Wnendt, Charlotte Roche, Claus Falkenberg","Christoph Letkowski, Marlen Kruse, Carla Juri, Meret Becker",Not Rated,5.8,91.0,77.0,3.0,8.0,59478.0,2013-08-22,2015-04-14,"Rommel Film, ZDF",https://www.netflix.com/watch/70299835,https://www.imdb.com/title/tt2524674,"Antisocial teen Helens only interest in other people is reuniting her divorced parents, and a freak shaving accident may hold the answer.",11061.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABe0LGe0XQHoMMaEZBDJT7j908tSSyx_RI_gJ_q-2sSaazvE3ibf0Kuv7BYTJFsQP82RZIl41Lk3yhJLpp1Ghb-_qPA.jpg?r=11a,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NTIxNDk4NV5BMl5BanBnXkFtZTgwNTQ1ODU0MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=arMRzjpkiQA,YouTube
Fatal Attraction,"Drama, Thriller","Thrillers,Steamy Thrillers,Psychological Thrillers,Classic Movies,Classic Thrillers,US Movies",English,Movie,3.5,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Adrian Lyne,James Dearden,"Ellen Latzen, Michael Douglas, Anne Archer, Glenn Close",R,6.9,76.0,67.0,7.0,22.0,156645693.0,1987-09-18,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/60010341,https://www.imdb.com/title/tt0093010,"Married Dans passing indiscretion comes back to haunt him when Alex, the woman he had a weekend fling with, refuses to let go.",76906.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAVKxWm5cEfqRC5hx2VkTj0IA5tWsShxP5peRoDJ1lmdDKaaVg64oYAS5KHoGkLoa3Cd_mKz5HSP5zqQR2AcwStpuAw.jpg?r=931,https://images-na.ssl-images-amazon.com/images/M/MV5BYjBjNzNiNWYtYWU0NC00OTdjLTk3NmYtM2NjZjc2ZGIwOTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=e3oF8Po4qWc,YouTube
Flight,"Drama, Thriller","Dramas,Action & Adventure,Social Issue Dramas",English,Movie,3.8,"Romania,Hungary,Mexico,United Kingdom,Lithuania,Portugal,France,Belgium,Switzerland,Brazil,Czech Republic,Netherlands,Germany,Poland,Argentina,Greece,Slovakia,Turkey,Colombia",> 2 hrs,Robert Zemeckis,John Gatins,"Denzel Washington, Nadine Velazquez, Adam C. Edwards, Carter Cabassa",R,7.3,77.0,76.0,15.0,45.0,93772375.0,2012-11-02,2015-04-14,"ImageMovers, Parkes/MacDonald",https://www.netflix.com/watch/70243453,https://www.imdb.com/title/tt1907668,"After his amazing safe landing of a damaged passenger plane, an airline pilot is praised for the feat, but has private questions about what happened.",326956.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAUWJciJOOESNqmpDtBxAr_6A0Y27Hxfe6CqBrkM69D-s_vTz5DiK6y0UlXcISIvXV3TOTJ0Vm8YN8WQlddjQBRQ3VA.jpg?r=3cf,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=WmjawuFvDu4,YouTube
The Prince of Egypt,"Animation, Adventure, Drama, Family, Fantasy, Musical","Faith & Spirituality,Children & Family Films,Films for ages 8 to 10,Kids Music,Films for ages 11 to 12,Kids Faith & Spirituality,Dramas,Musicals,Music & Musicals,US Movies,Animation,Family Dramas,Family Adventures,Family Features","English, Hebrew",Movie,3.6,Russia,1-2 hour,"Brenda Chapman, Simon Wells, Steve Hickner","Nicholas Meyer, Philip LaZebnik","Sandra Bullock, Val Kilmer, Michelle Pfeiffer, Ralph Fiennes",PG,7.1,80.0,64.0,12.0,27.0,101413188.0,1998-12-18,2015-04-14,DreamWorks SKG,https://www.netflix.com/watch/18171022,https://www.imdb.com/title/tt0120794,"Born into slavery but raised as the son of a pharaoh, Moses accepts his destiny: to lead the Hebrews out of slavery and into freedom.",119291.0,https://occ-0-531-2705.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDLeIvTjKYuBsZ4pESe4mo101qfcw74n6S4Bc7i3NUzf-jRS6S_H_92R1ZCE0GnLRF8eI2x0yslglYAl7hvYc3Zig.jpg?r=1ca,https://images-na.ssl-images-amazon.com/images/M/MV5BOWNjMjgyNmMtNWMzZC00YjI4LWI1NmUtMTY0ZTA0ZDQ4Y2EwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,https://www.youtube.com/watch?v=zmBDY-fSlIs,YouTube
Death Wish,"Action, Crime, Drama, Thriller","Action Thrillers,Classic Action & Adventure,Classic Films,Action & Adventure,Crime Action & Adventure","English, Italian, German, French",Movie,3.1,Israel,1-2 hour,Michael Winner,"Wendell Mayes, Brian Garfield","Steven Keats, Vincent Gardenia, Charles Bronson, Hope Lange",R,7.0,68.0,51.0,1.0,1.0,22000000.0,1974-07-24,2015-04-14,Dino De Laurentiis Company,https://www.netflix.com/watch/60004080,https://www.imdb.com/title/tt0071402,"After an architects wife is murdered and daughter is raped, he seeks vigilante justice against not only the culprits but other wrongdoers as well.",35863.0,https://occ-0-2219-1361.1.nflxso.net/art/88fda/0608125da4ae9aab2ed72984c2956aa68b088fda.jpg,http://ia.media-imdb.com/images/M/MV5BNWNiYTI4ODYtMmIyMi00NTkwLThhZTEtNTg0NTI1ZWYwMzljXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=hyZgZ9cN4kQ,YouTube
Star Trek Into Darkness,"Action, Adventure, Sci-Fi","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Adventure,Action & Adventure,Adventures,US Movies,Critically-acclaimed Action & Adventure,Critically Acclaimed Films,Critically-acclaimed Sci-Fi & Fantasy,Blockbuster Action & Adventure,Futuristic Sci-Fi,Sci-Fi,Action Movies","English, Klingon",Movie,3.9,"Russia,France,Japan,Iceland,Switzerland,Brazil,Spain,Germany,South Africa,Italy,India,Argentina,Sweden,Turkey,Mexico,Colombia,Belgium,Portugal,Israel",> 2 hrs,J.J. Abrams,"Damon Lindelof, Alex Kurtzman, Roberto Orci, Gene Roddenberry","Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",PG-13,7.7,84.0,72.0,7.0,59.0,228778661.0,2013-05-16,2015-04-14,Bad Robot,https://www.netflix.com/watch/70262640,https://www.imdb.com/title/tt1408101,The Star Trek reboot continues with this action sequel that finds Kirk and Spock fighting a terrorist threat to Starfleet aided by an unlikely ally.,463568.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVOJ1AXITwhQjxSE-iRVqbVYb1dONTxoblE660g2U-1Gkp7dWivcGNd9HPKWQ24DDwfG3MMW0cMtbHIjznAG6PkqBw.jpg?r=a74,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=RJ1qOs7jkIQ,YouTube
Clear and Present Danger,"Action, Crime, Drama, Thriller","Action Thrillers,Spy Action & Adventure,Action & Adventure,Movies Based on Books,Blockbuster Action & Adventure,US Movies,Dramas,Political Dramas,Action",English,Movie,3.7,"South Korea,Switzerland,Japan,Germany,Israel,Australia,India,Greece,Russia",> 2 hrs,Phillip Noyce,"Steven Zaillian, Tom Clancy, John Milius, Donald E. Stewart","Willem Dafoe, Anne Archer, Harrison Ford, Joaquim de Almeida",PG-13,6.9,80.0,74.0,3.0,11.0,122187717.0,1994-08-03,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/382460,https://www.imdb.com/title/tt0109444,"When the presidents friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",90162.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc6z3cOeG4YmaY19uZ4sAhJefVjtyHX8S7_IaXvoPXEe39e5irB_nwTqZ4PF2Ol_mibn_TByZYYSBccwaaj66dbrkg.jpg?r=48d,http://ia.media-imdb.com/images/M/MV5BMTUxOTk4NzUyOF5BMl5BanBnXkFtZTgwNzc3ODYxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=3sG1tGbpT7c,YouTube
Congo,"Action, Adventure, Mystery, Sci-Fi","Thrillers,Action & Adventure,Adventures,Films Based on Books,Blockbuster Action & Adventure,US Movies","English, American Sign Language",Movie,1.6,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Frank Marshall,"John Patrick Shanley, Michael Crichton","Ernie Hudson, Tim Curry, Laura Linney, Dylan Walsh",PG-13,5.3,22.0,22.0,2.0,11.0,81022101.0,1995-06-09,2015-04-14,"Paramount Pictures, Paramount Pictures International, Kennedy/Marshall",https://www.netflix.com/watch/394784,https://www.imdb.com/title/tt0112715,"When eight people embark on an expedition into the Congo, they stumble across a race of killer apes and must fight their way out of the dark.",42490.0,http://art-2.nflximg.net/feb9f/54575d5ae3ab7fdfa49901b0e86326def8bfeb9f.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=icu59hembVk,YouTube
Crocodile Dundee,"Action, Adventure, Comedy","Action Comedies,Australian Films,Comedies,Action & Adventure,Adventures,Classic Films,Classic Comedies,Classic Action & Adventure",English,Movie,3.6,"United Kingdom,India",1-2 hour,Peter Faiman,"John Cornell, Ken Shadie, Paul Hogan","John Meillon, Linda Kozlowski, David Gulpilil, Paul Hogan",PG-13,6.6,88.0,62.0,3.0,8.0,174803506.0,1986-09-26,2015-04-14,Paramount Pictures,https://www.netflix.com/watch/60010265,https://www.imdb.com/title/tt0090555,Its a clash of cultures and a recipe for comedy when a crocodile hunter is plucked from the Australian outback for a visit to the Big Apple.,92778.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZjBcK2f5WaktPTcqB6zXiG6a3qaZe7k7NWO00rTYCn7f0jBfZcB9TphBy4G9sxAxDQrCFRqPlCaiElBDpgyR8H7bQ.jpg?r=0da,http://ia.media-imdb.com/images/M/MV5BMTg0MTU1MTg4NF5BMl5BanBnXkFtZTgwMDgzNzYxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=rijQ5oBFlO0,YouTube
Snowpiercer,"Action, Drama, Sci-Fi","Sci-Fi Dramas,Dramas,Asian Action Films,International Dramas,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,International Movies,Action Thrillers,International Sci-Fi & Fantasy,Korean Films,Sci-Fi Thrillers,International Action & Adventure,Action & Adventure,Action,Futuristic Sci-Fi,Cult Sci-Fi & Fantasy","English, Korean, French, Japanese, Czech, German",Movie,4.1,"Hong Kong,Japan,Slovakia,Romania,United States,Australia,Hungary,Germany,Czech Republic,Switzerland,Malaysia,South Korea",> 2 hrs,Bong Joon Ho,"Benjamin Legrand, Bong Joon Ho, Jean-Marc Rochette, Jacques Lob, Kelly Masterson","Chris Evans, John Hurt, Ed Harris, Kang-ho Song",R,7.1,94.0,84.0,34.0,105.0,4563650.0,2014-07-11,2015-04-14,"Opus, CJ Entertainment, Stillking Films, Moho Film",https://www.netflix.com/watch/70270364,https://www.imdb.com/title/tt1706620,The Earths remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.,322589.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb4XfhX0zXwlIXSoyqvdBm8rppxMH1_r3GPTkIqC96Vltbf472nN4WQhV9b9jGsbAOZiMOxQz59Lna9w9P9RiQRkfA.jpg?r=86b,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NzA1MTY3MV5BMl5BanBnXkFtZTgwNzE2Mzg5MTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=7dd4pogcc4Y,YouTube
The Croods,"Animation, Adventure, Comedy, Family, Fantasy","Family Features,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Films for ages 11 to 12",English,Movie,3.3,United States,1-2 hour,"Kirk DeMicco, Chris Sanders","Kirk DeMicco, John Cleese, Chris Sanders","Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener",PG,7.2,72.0,55.0,5.0,46.0,187168425.0,2013-03-22,2015-04-14,Gizmo Prods.,https://www.netflix.com/watch/70143241,https://www.imdb.com/title/tt0481499,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",194075.0,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVaLTH5UNFtz7VqzlBCf8v6hSNrGSoUku0bTwI6_YI66Ue2sZTb5eT1xsvpQKcGPPNwnsZoAS29y7oNfsLKcjYSucQ.jpg?r=a67,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=4fVCKy69zUY,YouTube
Blue Ruin,"Crime, Drama, Thriller","Thrillers,Independent Films,Crime Thrillers,Independent Thrillers,Crime Films",English,Movie,4.1,United Kingdom,1-2 hour,Jeremy Saulnier,Jeremy Saulnier,"Ydaiber Orozco, Dani Santiago, Macon Blair, Ronald Sarcos",R,7.1,96.0,78.0,7.0,20.0,258384.0,2014-07-09,2015-04-14,Film Science,https://www.netflix.com/watch/70278931,https://www.imdb.com/title/tt2359024,"Bad news from the past unhinges vagabond Dwight Evans, sending him on a mission of bloody retribution that takes him to his childhood hometown.",67790.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZtvrAjEH90lhvJQD5uEMfFxLDjk_8XZw4eJd8KdSsZY4MVs56yuA1-cXt7aEi6NfA0EvCRmFV3PZN63P30FvgvA8Q.jpg?r=5ed,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NTM2MDg5OV5BMl5BanBnXkFtZTgwMDA3OTAwMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=W0XGOxFnm9A,YouTube
